velbody	velleft	velright	Posbody	Posleft	Posright
-2.518	-1.221	-1.981	1560.145	1731.773	1740.100
-2.371	-0.883	-1.768	1561.164	1733.066	1744.348
-2.186	-0.436	-1.428	1561.407	1731.756	1744.242
-1.975	0.085	-1.009	1561.613	1731.138	1742.253
-1.758	0.607	-0.593	1561.819	1731.798	1740.386
-1.548	1.083	-0.218	1562.222	1732.557	1740.104
-1.346	1.491	0.120	1563.249	1733.276	1741.169
-1.155	1.832	0.423	1564.396	1733.954	1743.043
-0.970	2.126	0.698	1565.295	1735.476	1745.357
-0.792	2.386	0.945	1565.802	1738.043	1746.976
-0.621	2.619	1.169	1566.275	1741.616	1749.804
-0.456	2.832	1.382	1566.884	1745.902	1755.397
-0.299	3.035	1.594	1566.621	1749.531	1759.817
-0.149	3.242	1.814	1565.481	1752.514	1760.631
-0.012	3.453	2.045	1563.716	1754.092	1759.729
0.107	3.657	2.280	1561.247	1753.682	1759.069
0.200	3.838	2.508	1558.822	1751.348	1758.367
0.261	3.979	2.712	1556.595	1747.928	1756.420
0.290	4.071	2.875	1553.718	1745.069	1752.955
0.287	4.116	2.981	1550.190	1742.771	1748.874
0.252	4.110	3.026	1546.551	1741.835	1745.336
0.186	4.043	3.017	1542.905	1742.073	1743.117
0.086	3.918	2.968	1539.390	1740.648	1742.147
-0.045	3.747	2.896	1536.804	1735.985	1741.542
-0.203	3.545	2.803	1535.997	1730.141	1742.319
-0.380	3.328	2.676	1536.155	1725.777	1744.008
-0.564	3.111	2.504	1536.718	1723.922	1743.414
-0.737	2.907	2.283	1538.185	1724.161	1740.430
-0.888	2.713	2.024	1539.563	1723.987	1735.594
-1.009	2.512	1.759	1540.313	1724.271	1730.449
-1.100	2.286	1.505	1541.225	1727.125	1730.018
-1.165	2.037	1.270	1542.522	1729.932	1733.916
-1.208	1.791	1.065	1544.443	1732.043	1736.855
-1.233	1.577	0.893	1547.010	1734.789	1737.635
-1.235	1.399	0.752	1549.723	1736.464	1737.255
-1.211	1.248	0.643	1552.428	1735.787	1736.469
-1.164	1.108	0.552	1555.013	1735.066	1736.384
-1.100	0.973	0.467	1557.757	1736.406	1737.496
-1.016	0.844	0.386	1560.912	1737.695	1739.989
-0.908	0.727	0.314	1563.344	1736.996	1742.546
-0.774	0.630	0.250	1564.192	1735.573	1742.927
-0.618	0.563	0.196	1564.467	1734.358	1742.117
-0.448	0.522	0.144	1565.755	1732.372	1742.643
-0.281	0.487	0.087	1568.049	1729.078	1744.163
-0.122	0.450	0.019	1570.246	1727.546	1745.318
0.033	0.418	-0.063	1571.262	1729.596	1745.216
0.199	0.400	-0.169	1570.366	1732.714	1743.354
0.372	0.392	-0.286	1568.935	1734.895	1740.907
0.534	0.380	-0.376	1568.826	1735.134	1739.617
0.673	0.352	-0.428	1569.629	1733.824	1740.261
0.788	0.306	-0.454	1570.441	1732.337	1742.049
0.881	0.250	-0.469	1570.786	1731.388	1742.969
0.965	0.204	-0.487	1570.225	1732.214	1742.361
1.043	0.175	-0.518	1569.284	1734.366	1741.531
1.112	0.159	-0.551	1568.559	1735.312	1740.491
1.165	0.144	-0.573	1567.085	1734.583	1737.590
1.197	0.122	-0.580	1564.146	1733.173	1733.868
1.208	0.084	-0.578	1560.756	1730.414	1732.318
